id	name	now_prices	up_down_rates	up_downs	up_rates	turnover_rates	volume_ratios	amplitudes	turnovers	tradable_shares	market_values	pe_ratios
002601	龙蟒佰利	16.13	1.90	0.30	0.06	1.67	0.77	2.97	1.59亿	5.95亿	96.00亿	14.00
300379	东方通  	46.36	1.89	0.86	0.13	2.89	0.72	2.42	1.17亿	8786.21万	40.73亿	515.48
300128	锦富技术	16.19	1.89	0.30	-0.06	1.75	0.60	2.77	9241.28万	3.25亿	52.62亿	727.87
000858	五 粮 液	44.25	1.89	0.82	0.11	0.52	0.93	2.90	8.58亿	37.96亿	1679.62亿	11.69
300638	广和通  	38.41	1.88	0.71	0.08	19.33	0.98	5.73	1.47亿	2000.00万	7.68亿	126.65
600188	兖州煤业	10.29	1.88	0.19	0.10	0.17	0.47	3.27	5121.68万	29.60亿	304.57亿	7.23
603081	大丰实业	23.86	1.88	0.44	0.25	20.25	0.87	5.93	2.48亿	5180.00万	12.36亿	65.19
300498	温氏股份	28.31	1.87	0.52	--	0.26	0.91	4.17	2.18亿	29.81亿	843.89亿	20.90
002310	东方园林	17.49	1.86	0.32	--	1.18	0.61	2.91	2.89亿	14.20亿	248.32亿	--
002010	传化智联	16.45	1.86	0.30	1.54	0.25	1.14	3.41	1684.91万	4.13亿	67.91亿	176.94
300531	优博讯  	93.20	1.85	1.69	0.09	13.69	1.04	7.08	2.57亿	2000.00万	18.64亿	123.49
600939	重庆建工	12.72	1.84	0.23	0.08	10.25	1.27	7.93	2.35亿	1.81亿	23.09亿	144.20
000687	华讯方舟	15.57	1.83	0.28	0.13	1.60	0.97	3.86	1.31亿	5.31亿	82.74亿	243.71
002180	艾派克  	26.15	1.83	0.47	0.19	0.35	1.23	3.23	1747.03万	1.93亿	50.42亿	--
600507	方大特钢	6.68	1.83	0.12	--	0.63	0.78	3.66	5485.81万	13.26亿	88.58亿	7.77
300604	长川科技	54.30	1.82	0.97	0.52	43.13	0.96	7.89	4.27亿	1905.00万	10.34亿	247.01
300142	沃森生物	11.21	1.82	0.20	--	0.49	0.85	2.91	6238.18万	11.50亿	128.90亿	--
600135	乐凯胶片	15.70	1.82	0.28	-0.06	7.12	0.95	6.10	4.09亿	3.68亿	57.83亿	54.88
603303	得邦照明	34.22	1.81	0.61	0.09	6.92	1.22	5.00	1.41亿	6000.00万	20.53亿	37.47
000411	英特集团	21.40	1.81	0.38	-0.23	0.73	1.27	3.81	3181.30万	2.07亿	44.37亿	52.22
002783	凯龙股份	70.50	1.80	1.25	0.07	2.51	0.90	3.60	7574.78万	4280.20万	30.18亿	78.94
600107	美尔雅	10.72	1.80	0.19	0.28	1.39	1.11	5.79	5369.90万	3.60亿	38.59亿	--
002730	电光科技	14.72	1.80	0.26	0.07	2.47	0.80	3.18	3683.32万	1.03亿	15.11亿	243.97
300344	太空板业	18.68	1.80	0.33	-0.16	36.46	1.37	9.92	9.40亿	1.38亿	25.70亿	--
601818	光大银行	3.97	1.79	0.07	0.25	0.30	1.84	2.56	4.71亿	398.10亿	1580.47亿	5.40
600270	外运发展	16.53	1.79	0.29	-0.24	0.45	1.07	3.33	6685.38万	9.05亿	149.68亿	19.61
603630	拉芳家化	39.36	1.78	0.69	0.28	8.89	1.26	3.54	1.52亿	4360.00万	17.16亿	50.38
300298	三诺生物	18.87	1.78	0.33	0.05	0.46	0.42	3.18	2171.09万	2.51亿	47.30亿	35.53
300269	联建光电	20.64	1.77	0.36	0.93	0.46	1.13	2.12	2467.47万	2.65亿	54.64亿	43.24
000686	东北证券	9.82	1.76	0.17	0.20	1.18	0.86	3.21	2.41亿	20.90亿	205.28亿	29.72
603906	龙蟠科技	28.89	1.76	0.50	-0.35	36.37	1.32	5.99	5.39亿	5200.00万	15.02亿	44.58
300437	清水源  	18.51	1.76	0.32	0.05	2.42	0.68	5.77	3503.61万	7917.50万	14.66亿	111.92
300632	光莆股份	32.97	1.76	0.57	0.03	35.53	1.34	7.78	3.33亿	2895.00万	9.54亿	83.53
300336	新文化  	14.46	1.76	0.25	--	1.40	1.22	4.29	8852.29万	4.47亿	64.64亿	29.39
300145	中金环境	30.16	1.75	0.52	--	0.63	0.46	2.87	7356.59万	3.94亿	118.90亿	54.47
